X,Y,F_CODE_BDQA,NOM_STATION,ZAS,COMMUNE,CODE_INSEE,X_WGS84,Y_WGS84,ENVIRONNEMENT,INFLUENCE,NOX,O3,PM10,PM25,BENZENE,METAUX,HAP,SO2,H2S,CO,SPEC_PM,METAUX_LOURDS,BAP_HAP,SUBS_EMEP_MERA,PREC_O3,PM25_IEM,PESTICIDES,TYPE_NOX,TYPE_O3,TYPE_PM10,TYPE_PM25,TYPE_BENZENE,TYPE_METAUX,TYPE_HAP,TYPE_SO2,TYPE_H2S,TYPE_CO,REPORTING_NOX,REPORTING_O3,REPORTING_PM10,REPORTING_PM25,REPORTING_BENZENE,REPORTING_METAUX,REPORTING_HAP,REPORTING_SO2,REPORTING_H2S,REPORTING_CO,ObjectId
3.88681,43.5915,50200,Montpellier Prés d Arènes Urbain,ZAG Montpellier,MONTPELLIER,34172,3.88681,43.5915,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,,,,,,,,,,X,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,,,,,,,,,,,1
3.86626,43.6113,50201,Montpellier Chaptal Urbain,ZAG Montpellier,MONTPELLIER,34172,3.86626,43.6113,urbain,fond,X,,,,,,,,,,,,,,,,,Mesures indicatives,,,,,,,,,,,,,,,,,,,,2
3.87464,43.6051,50202,Montpellier Saint Denis Trafic,ZAG Montpellier,MONTPELLIER,34172,3.87464,43.6051,urbain,trafic,X,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,,3
3.898617657,43.60994829,50203,Montpellier Pompignane Trafic,ZAG Montpellier,MONTPELLIER,34172,3.898617657,43.60994829,urbain,trafic,X,,X,X,X,,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,EUROPE,,EUROPE,EUROPE,,,,,,,4
3.80021,43.6926,50204,Montpellier Nord Périurbain,ZAG Montpellier,SAINT-GELY-DU-FESC,34255,3.80021,43.6926,periurbain,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,5
3.91168,43.5705,50205,Montpellier Sud Périurbain,ZAG Montpellier,LATTES,34129,3.91168,43.5705,periurbain,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures indicatives,,,,,,,,,,,,,,,,,,,6
3.827978983,43.61156038,50225,Montpellier Liberté Trafic,ZAG Montpellier,MONTPELLIER,34172,3.827978983,43.61156038,urbain,trafic,X,,X,X,,,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,Mesures Fixes,,,,,,,EUROPE,,EUROPE,EUROPE,,,,,,,7
1.418072093,43.57570439,50004,Toulouse-Jacquier Urbain,ZAG Toulouse,TOULOUSE,31555,1.418072093,43.57570439,urbain,fond,X,PREVAIR,PREVAIR,,,,,,,,,,,,,,,Mesures indicatives,Mesures indicatives,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,8
1.438546479,43.62358041,50021,Toulouse-Mazades Urbain,ZAG Toulouse,TOULOUSE,31555,1.438546479,43.62358041,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,,,,,X,,,,,,,Mesures Fixes,Mesures Fixes,Mesures indicatives,Mesures indicatives,,,,,,,EUROPE,EUROPE,,,,,,,,,9
1.444026232,43.5873309,50030,Toulouse-Berthelot Urbain,ZAG Toulouse,TOULOUSE,31555,1.444026232,43.5873309,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,X,,,,,,,,,,X,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,Mesures Fixes,,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,10
1.393260062,43.56158117,50039,Toulouse-SETMI Eisenhower Industriel ,ZAG Toulouse,TOULOUSE,31555,1.393260062,43.56158117,periurbain,industriel,,,PREVAIR,,,X,,,,,,,,,,,,,,Mesures indicatives,,,Mesures indicatives,,,,,,,,,,,,,,,11
1.403924525,43.55641203,50040,Toulouse-SETMI Chapitre Industriel ,ZAG Toulouse,TOULOUSE,31555,1.403924525,43.55641203,periurbain,industriel,,,PREVAIR,,,X,,,,,,,,,,,,,,Mesures indicatives,,,Mesures indicatives,,,,,,,,,,,,,,,12
1.571484804,43.45729083,50041,Montgiscard Rural,ZAG Toulouse,MONTGISCARD,31381,1.571484804,43.45729083,periurbain,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,13
1.377245933,43.62530339,50043,Blagnac Aéroport Piste (station d observation),ZAG Toulouse,BLAGNAC,31069,1.377245933,43.62530339,observation,industriel,X,,X,X,,,,,,,,,,,,,,Mesures indicatives,,Mesures indicatives,Mesures indicatives,,,,,,,,,,,,,,,,,14
1.375719756,43.63347292,50044,Blagnac Aéroport Trafic ,ZAG Toulouse,BLAGNAC,31069,1.375719756,43.63347292,periurbain,industriel,X,,PREVAIR,,X,,,,,,,,,,,,,Mesures indicatives,,Mesures indicatives,,Mesures indicatives,,,,,,,,,,,,,,,,15
1.449589136,43.57401353,50048,Toulouse-Périphérique Trafic (station d observation),ZAG Toulouse,TOULOUSE,31555,1.449589136,43.57401353,observation,trafic,X,,X,,,,,,,,,,,,,,,Mesures indicatives,,Mesures indicatives,,,,,,,,,,,,,,,,,,16
1.46765185,43.64305339,50054,Toulouse Rte Albi Trafic,ZAG Toulouse,TOULOUSE,31555,1.46765185,43.64305339,urbain,trafic,X,,X,X,,,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,Mesures Fixes,,,,,,,EUROPE,,EUROPE,EUROPE,,,,,,,17
1.415181756,43.61032645,50821,Toulouse Port de l Embouchure,ZAG Toulouse,TOULOUSE,31555,1.415181756,43.61032645,urbain,trafic,X,,X,X,X,,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,EUROPE,,EUROPE,EUROPE,,,,,,,18
4.37419,43.8344,50211,Nîmes Sud Urbain,ZAR Nimes,NIMES,30189,4.37419,43.8344,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,,,,,,,,,,X,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,19
4.36199,43.8299,50212,Nîmes - Planas Trafic,ZAR Nimes,NIMES,30189,4.36199,43.8299,urbain,trafic,X,,X,,,,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,,,,,,,,EUROPE,,EUROPE,,,,,,,,20
4.26581,43.9254,50213,La Calmette Périurbain,ZAR Nimes,LA CALMETTE,30061,4.26581,43.9254,periurbain,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,21
2.90053,42.6955,50220,Perpignan Centre Urbain,ZAR Perpignan,PERPIGNAN,66136,2.90053,42.6955,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,,,,,,,,,,X,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,22
2.83988,42.7198,50221,Saint Estève Périurbain,ZAR Perpignan,SAINT-ESTEVE,66172,2.83988,42.7198,periurbain,fond,,PREVAIR,,,,X,,,,,,,,,,,,,Mesures Fixes,,,,Mesures indicatives,,,,,,EUROPE,,,,,,,,,23
2.888446527,42.69593509,50224,Perpignan-Pyrénées Trafic,ZAR Perpignan,PERPIGNAN,66136,2.888446527,42.69593509,urbain,trafic,X,,X,,,,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,,,,,,,,EUROPE,,EUROPE,,,,,,,,24
0.743792653,43.09377548,50015,Saint Gaudens-Miramont Industriel,ZR,MIRAMONT-DE-COMMINGES,31344,0.743792653,43.09377548,periurbain,industriel,,,,,,,,X,X,,,,,,,,,,,,,,,,Mesures indicatives,Mesures indicatives,,,,,,,,,,,,25
0.719296038,43.10560652,50016,Saint Gaudens-Daurat Industriel,ZR,SAINT-GAUDENS,31483,0.719296038,43.10560652,periurbain,industriel,,,,,,,,X,X,,,,,,,,,,,,,,,,Mesures indicatives,Mesures indicatives,,,,,,,,,,,,26
0.179064274,43.62872527,50020,Peyrusse Vieille Rural,ZR,PEYRUSSE-VIEILLE,32317,0.179064274,43.62872527,rural national,fond,X,PREVAIR,PREVAIR,PREVAIR,,X,X,,,,X,X,X,X,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,Mesures Fixes,Mesures Fixes,,,,MERA,MERA,MERA,MERA,,MERA,MERA,,,,27
2.145879865,43.92781137,50026,Albi Urbain,ZR,ALBI,81004,2.145879865,43.92781137,urbain,fond,X,,PREVAIR,,,,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,,,,,,,,EUROPE,,EUROPE,,,,,,,,28
0.845617354,43.88395379,50029,Gaudonville Rural,ZR,GAUDONVILLE,32139,0.845617354,43.88395379,rural regional,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,29
1.821396947,43.44175891,50031,Belesta en Lauragais Rural,ZR,BELESTA-EN-LAURAGAIS,31060,1.821396947,43.44175891,rural regional,fond,,PREVAIR,,,,,,,,,,,,,,,X,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,30
-0.040493309,43.09624528,50042,Lourdes Urbain,ZR,LOURDES,65286,-0.040493309,43.09624528,urbain,fond,X,PREVAIR,PREVAIR,,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,,EUROPE,EUROPE,EUROPE,,,,,,,,31
1.595487893,43.80318072,50047,Bessières-ECONOTRE Industriel,ZR,BESSIERES,31066,1.595487893,43.80318072,rural proche zone urb,industriel,,,PREVAIR,,,X,,,,,,,,,,,,,,Mesures indicatives,,,Mesures indicatives,,,,,,,,,,,,,,,32
0.062463284,43.23035205,50052,Tarbes-Dupuy Urbain,ZR,TARBES,65440,0.062463284,43.23035205,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,X,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,Mesures Fixes,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,33
2.230208516,43.61043594,50053,Castres Urbain,ZR,CASTRES,81065,2.230208516,43.61043594,urbain,fond,X,PREVAIR,PREVAIR,,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,,EUROPE,EUROPE,EUROPE,,,,,,,,34
1.375305225,44.01285657,50060,Montauban - Ramierou Urbain,ZR,MONTAUBAN,82121,1.375305225,44.01285657,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,35
4.08838,43.6758,50206,Lunel-Viel Industriel,ZR,LUNEL-VIEL,34146,4.08838,43.6758,periurbain,industriel,X,,PREVAIR,PREVAIR,,X,,,,,,,,,,,,Mesures Fixes,,Mesures Fixes,Mesures Fixes,,Mesures indicatives,,,,,,,,,,,,,,,36
3.18878,43.4068,50209,Biterrois-Narbonnais Périurbain,ZR,CORNEILHAN,34084,3.18878,43.4068,rural proche zone urb,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,37
3.50484,43.2875,50210,Agathois-Piscénois Périurbain,ZR,AGDE,34003,3.50484,43.2875,periurbain,fond,X,PREVAIR,,,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,,,,,,,,,EUROPE,EUROPE,,,,,,,,,38
4.67958,43.9426,50216,Saze Rural,ZR,SAZE,30315,4.67958,43.9426,rural proche zone urb,fond,,PREVAIR,,,,,,,,,,,,,,,,,Mesures Fixes,,,,,,,,,,EUROPE,,,,,,,,,39
2.570704222,44.35699225,50815,Rodez Urbain,ZR,RODEZ,12202,2.570704222,44.35699225,urbain,fond,X,PREVAIR,PREVAIR,PREVAIR,,,,,,,,,,,,,,Mesures Fixes,Mesures Fixes,Mesures Fixes,Mesures Fixes,,,,,,,EUROPE,EUROPE,EUROPE,EUROPE,,,,,,,40
